"GDP_gap","Infl","FF"
2.622792204,1.600521223,1.343333324
3.468750296,2.260075429,1.49999996
4.051260899,2.887172692,1.940000017
3.795933551,2.69718827,2.356666644
2.543033269,3.959594254,2.483333349
2.527575596,3.733958433,2.693333308
1.574545639,4.541984285,2.810000022
2.377353884,2.435475303,2.926666737
2.085957227,4.625267074,2.933333317
0.983072162,2.793770622,3
1.103499061,3.052764537,3.233333349
-0.788767995,2.10140742,3.25333333
-4.276677109,3.484531227,1.863333344
-4.540566958,1.76022189,0.939999998
-3.239419903,1.110814092,1.323333323
-1.933575768,0.661125035,2.163333337
-0.772687456,1.78346714,2.570000013
0.908540317,0.599164182,3.083333413
-0.042874294,1.137871118,3.576666673
-0.611850535,1.595273959,3.99000001
0.673684211,0.957946621,3.933333317
-0.738451829,1.756649919,3.696666638
-1.463410597,1.8627671,2.936666648
-3.640762745,1.759741716,2.296666702
-3.995943205,0.452872961,2.00333333
-3.122360907,0.734826745,1.733333349
-2.467760007,1.052780605,1.683333317
-1.423224824,1.031290856,2.399999936
-0.65604688,2.278144434,2.456666629
-0.529937778,1.041376692,2.606666644
-0.501929346,1.07571818,2.846666733
-1.195536641,1.38673955,2.923333406
-0.977406829,1.124346984,2.966666698
-0.644154192,0.404727993,2.963333368
0.283940986,0.734821553,3.330000003
0.029204873,2.36064459,3.453333378
1.25460809,1.420637137,3.463333368
1.435375966,1.306894115,3.49000001
1.764582584,1.934335905,3.456666708
0.992566264,1.835278286,3.576666594
2.394918526,1.755410099,3.973333359
2.682184635,1.765534867,4.076666673
3.641921222,1.757776316,4.073333422
4.959680701,2.455024817,4.166666667
6.373576769,2.457549311,4.556666692
5.589689726,3.72760057,4.913333416
5.079129313,3.830587466,5.410000165
4.816997692,3.504969958,5.563333511
4.607855528,1.918957596,4.823333422
3.391159114,2.499480373,3.990000089
2.999689151,3.653452581,3.893333356
2.647441699,4.396651411,4.173333486
3.620102268,4.283557194,4.786666711
4.295474157,4.448097785,5.980000178
3.944229636,3.855916111,5.943333467
3.338352608,5.557409178,5.916666667
3.910178434,4.000896287,6.566666762
3.187371968,5.334653002,8.326666514
2.822511279,5.796205489,8.983332952
1.408366541,5.024300823,8.940000216
0.368663759,5.553886987,8.573333104
-0.298504576,5.6673977,7.880000114
-0.287646482,3.165630405,6.703333378
-2.191199662,5.087737461,5.566666603
-0.299148778,5.953545533,3.856666644
-0.58255832,5.311234957,4.563333352
-0.644628926,3.978895102,5.473333359
-1.212361087,3.176684618,4.749999841
-0.10261383,6.560517689,3.539999962
1.335906431,2.341026363,4.300000032
1.482536839,3.65129583,4.740000089
2.367760761,4.67780116,5.143333276
4.071514665,5.255976344,6.536666711
4.197331698,6.61066399,7.816666603
2.868423623,7.599657067,10.55999978
2.803442335,6.859073233,9.99666659
1.114408882,8.088177014,9.323333422
0.498795603,8.761334832,11.25000032
-1.473854116,12.17289422,12.09000015
-2.848534952,12.05625967,9.346666654
-4.897426776,9.13334004,6.303333282
-4.856886296,5.836861758,5.419999917
-4.000559936,7.394938447,6.159999847
-3.581670631,7.045404501,5.413333257
-2.088545086,4.466699484,4.826666673
-2.067249703,4.26689542,5.196666718
-2.385095373,5.371883754,5.283333302
-2.363933817,6.782901392,4.873333295
-1.967103801,6.61235903,4.660000006
-1.016338514,6.372934064,5.156666597
-0.076517783,5.465179533,5.820000013
-0.810662238,6.691554471,6.513333321
-1.390325639,6.626405008,6.75666666
1.525321066,7.631321253,7.283333302
1.628439489,6.847340998,8.099999905
2.119464678,8.076921026,9.583333333
1.534976401,7.19996703,10.07333342
0.787103468,9.590135816,10.17999999
0.727929026,8.145935487,10.94666672
0.308483087,7.795483407,13.57666683
-0.09066366,8.682103139,15.04666678
-2.822622985,8.737595338,12.68666681
-3.656842945,8.968819415,9.836666425
-2.61387618,11.08160177,15.85333347
-1.38540901,10.28287221,16.57000001
-2.717594275,6.998146608,17.78000037
-2.191452599,7.300423373,17.57666683
-3.962864236,6.932421263,13.58666674
-6.154762383,5.62057879,14.22666677
-6.35435467,4.952724038,14.513333
-7.400985601,5.500273882,11.00666682
-7.952731542,4.23744115,9.286666552
-7.52464381,3.411335077,8.653333664
-5.99860169,2.895738666,8.803333282
-5.004307706,4.054534305,9.460000038
-3.741602012,2.906627162,9.429999987
-2.344544384,4.925621861,9.686666807
-1.415837706,3.580681804,10.55666669
-1.30025119,3.248976719,11.39000003
-1.309836935,2.363972536,9.26666673
-1.252388155,4.582377914,8.476666768
-1.2582498,2.087633233,7.923333486
-0.576655773,1.91654242,7.900000095
-0.561755939,2.414132529,8.103333473
-0.463801639,2.048827187,7.826666832
-0.854401674,1.925727807,6.919999917
-0.7338912,2.549567794,6.206666629
-0.991820056,2.817011259,6.266666571
-1.041705756,3.067695034,6.219999949
-0.762581162,2.145544211,6.649999936
-0.695185583,2.98455817,6.843333244
0.260520834,2.702896348,6.916666667
0.169187397,3.318269407,6.663333257
0.589292945,3.907678215,7.156666756
0.347467198,4.65827782,7.98333327
0.894213297,3.17984991,8.470000267
1.366251095,4.156177674,9.443333308
1.173283565,3.868432639,9.726666768
0.919030841,2.904848861,9.083333333
0.545661235,2.627167692,8.613333384
1.086673981,4.785380747,8.249999682
0.620310287,4.635367089,8.243333499
-0.240515991,3.559844525,8.159999847
-1.715209862,3.088480944,7.743333181
-2.832363143,4.679315886,6.426666578
-2.909014026,2.535515114,5.863333384
-3.275793393,2.736655917,5.643333276
-3.346470778,2.014453696,4.816666603
-3.034768855,2.648489491,4.023333391
-2.707004182,2.074688622,3.769999981
-2.535597173,1.736123884,3.25666666
-1.83533499,2.096428783,3.036666632
-2.446954281,3.144702672,3.039999962
-2.446060419,2.159918397,3
-2.613252431,1.787302963,3.059999943
-1.748826293,1.941128288,2.99000001
-1.53766402,2.543842687,3.213333289
-0.79711875,1.701770044,3.940000057
-0.904871324,2.415452895,4.486666679
-0.349921971,1.908722345,5.166666667
-0.655336248,2.61244025,5.810000102
-1.143598791,1.469651957,6.02000014
-1.071525446,1.69407112,5.796666622
-0.985994755,1.958764015,5.720000108
-0.998218993,2.442545593,5.363333225
-0.106261429,1.339633281,5.243333181
-0.359587968,1.913909842,5.306666692
0.005042333,1.65925158,5.279999892
0.28899326,2.145524577,5.276666641
0.924615892,1.379210214,5.523333391
1.148545627,1.048042857,5.533333302
1.001116962,1.350018261,5.50666666
1.651344539,0.966868568,5.519999981
1.351699081,0.781786297,5.499999841
1.509216013,1.393440633,5.53333346
2.284561443,1.161631854,4.859999975
2.165400433,1.536759969,4.733333429
1.769701637,1.752022291,4.74666659
2.157671868,1.312059545,5.093333244
3.010508404,1.844306234,5.306666692
2.765298241,3.304918,5.679999987
3.101205052,1.96110343,6.273333391
2.389050994,1.843809665,6.519999981
1.835363392,1.775763388,6.473333518
0.876533587,3.130132462,5.593333244
-0.304738921,3.121472913,4.326666752
-1.135397449,1.573076304,3.49666667
-1.20809431,1.56303357,2.133333325
-0.719952252,1.108302314,1.733333349
-1.126386883,1.444700318,1.75
-0.850845517,1.481761139,1.74000001
-1.19891628,1.717349567,1.443333348
-1.416445026,2.25810435,1.25
